#number of points averaged per size parameter = 4999
#   x        qext          qsca q         back            gsca           qp180
0.0880  -0.031265804    0.000145562    0.000216206    0.004638214    0.118198105
0.0890  -0.031679551    0.000152323    0.000226198    0.004741535    0.118172080
0.0900  -0.032095276    0.000159318    0.000236533    0.004845895    0.118145793
0.0910  -0.032513003    0.000166552    0.000247218    0.004951290    0.118119245
0.0920  -0.032932752    0.000174031    0.000258261    0.005057716    0.118092438
0.0930  -0.033354549    0.000181760    0.000269669    0.005165166    0.118065371
0.0940  -0.033778414    0.000189746    0.000281452    0.005273637    0.118038048
0.0950  -0.034204371    0.000197993    0.000293616    0.005383124    0.118010468
0.0960  -0.034632443    0.000206508    0.000306171    0.005493621    0.117982633
0.0970  -0.035062653    0.000215295    0.000319124    0.005605123    0.117954545
0.0980  -0.035495023    0.000224362    0.000332483    0.005717625    0.117926204
0.0990  -0.035929578    0.000233714    0.000346258    0.005831122    0.117897612
0.1000  -0.036366339    0.000243357    0.000360456    0.005945608    0.117868771
0.1010  -0.036805330    0.000253297    0.000375087    0.006061079    0.117839681
0.1020  -0.037246574    0.000263540    0.000390158    0.006177528    0.117810344
0.1030  -0.037690094    0.000274093    0.000405679    0.006294950    0.117780762
0.1040  -0.038135914    0.000284962    0.000421659    0.006413339    0.117750935
0.1050  -0.038584057    0.000296153    0.000438106    0.006532690    0.117720865
0.1060  -0.039034546    0.000307672    0.000455030    0.006652997    0.117690555
0.1070  -0.039487405    0.000319527    0.000472439    0.006774253    0.117660004
0.1080  -0.039942657    0.000331723    0.000490343    0.006896453    0.117629215
0.1090  -0.040400326    0.000344267    0.000508752    0.007019591    0.117598189
0.1100  -0.040860435    0.000357167    0.000527674    0.007143660    0.117566927
0.1110  -0.041323009    0.000370428    0.000547120    0.007268655    0.117535432
0.1120  -0.041788070    0.000384058    0.000567098    0.007394568    0.117503704
0.1130  -0.042255642    0.000398063    0.000587618    0.007521394    0.117471746
0.1140  -0.042725750    0.000412451    0.000608690    0.007649126    0.117439558
0.1150  -0.043198417    0.000427228    0.000630325    0.007777758    0.117407143
0.1160  -0.043673667    0.000442402    0.000652531    0.007907282    0.117374503
0.1170  -0.044151525    0.000457980    0.000675319    0.008037693    0.117341638
0.1180  -0.044632014    0.000473970    0.000698699    0.008168982    0.117308551
0.1190  -0.045115158    0.000490378    0.000722681    0.008301144    0.117275243
0.1200  -0.045600982    0.000507212    0.000747276    0.008434171    0.117241716
0.1210  -0.046089510    0.000524479    0.000772494    0.008568055    0.117207971
0.1220  -0.046580766    0.000542187    0.000798345    0.008702790    0.117174012
0.1230  -0.047074775    0.000560344    0.000824840    0.008838369    0.117139838
0.1240  -0.047571561    0.000578958    0.000851989    0.008974784    0.117105453
0.1250  -0.048071149    0.000598036    0.000879804    0.009112027    0.117070858
0.1260  -0.048573563    0.000617586    0.000908294    0.009250090    0.117036055
0.1270  -0.049078829    0.000637615    0.000937472    0.009388967    0.117001045
0.1280  -0.049586970    0.000658133    0.000967348    0.009528649    0.116965831
0.1290  -0.050098012    0.000679147    0.000997933    0.009669128    0.116930415
0.1300  -0.050611979    0.000700666    0.001029239    0.009810397    0.116894799
0.1310  -0.051128897    0.000722697    0.001061276    0.009952447    0.116858984
0.1320  -0.051648790    0.000745249    0.001094056    0.010095269    0.116822973
0.1330  -0.052171684    0.000768330    0.001127590    0.010238856    0.116786768
0.1340  -0.052697604    0.000791949    0.001161891    0.010383200    0.116750370
0.1350  -0.053226575    0.000816114    0.001196969    0.010528290    0.116713783
0.1360  -0.053758622    0.000840835    0.001232837    0.010674120    0.116677007
0.1370  -0.054293771    0.000866119    0.001269507    0.010820680    0.116640046
0.1380  -0.054832048    0.000891975    0.001306989    0.010967961    0.116602901
0.1390  -0.055373478    0.000918413    0.001345297    0.011115954    0.116565574
0.1400  -0.055918086    0.000945441    0.001384443    0.011264651    0.116528068
0.1410  -0.056465898    0.000973069    0.001424438    0.011414042    0.116490385
0.1420  -0.057016941    0.001001305    0.001465295    0.011564117    0.116452528
0.1430  -0.057571239    0.001030159    0.001507027    0.011714867    0.116414498
0.1440  -0.058128820    0.001059639    0.001549646    0.011866283    0.116376298
0.1450  -0.058689708    0.001089756    0.001593164    0.012018355    0.116337931
0.1460  -0.059253930    0.001120519    0.001637595    0.012171074    0.116299398
