#1000 pts per wavenumber up to wavenumber=2000
#100 pts per wavenumber after wavenumber=2000
#x   qext   qsca   qback   gsca   p180
105.0   2.0225   2.0225   1.8097   0.0000   0.0712
106.0   2.0212   2.0212   2.0014   0.0000   0.0788
107.0   2.0460   2.0460   1.6339   0.0000   0.0635
108.0   2.0875   2.0875   1.6776   0.0000   0.0640
109.0   2.1302   2.1302   1.9769   0.0000   0.0739
110.0   2.1529   2.1529   1.9679   0.0000   0.0727
111.0   2.1520   2.1520   1.3517   0.0000   0.0500
112.0   2.1167   2.1167   1.1364   0.0000   0.0427
113.0   2.0698   2.0698   0.9352   0.0000   0.0360
114.0   2.0314   2.0314   1.0294   0.0000   0.0403
115.0   2.0178   2.0178   0.7463   0.0000   0.0294
116.0   2.0323   2.0323   0.7525   0.0000   0.0295
117.0   2.0663   2.0663   0.7980   0.0000   0.0307
118.0   2.1067   2.1067   1.0549   0.0000   0.0398
119.0   2.1350   2.1350   1.1501   0.0000   0.0429
120.0   2.1460   2.1460   1.6342   0.0000   0.0606
121.0   2.1265   2.1265   2.0359   0.0000   0.0762
122.0   2.0875   2.0875   1.8304   0.0000   0.0698
123.0   2.0444   2.0444   1.7180   0.0000   0.0669
124.0   2.0195   2.0195   1.8118   0.0000   0.0714
125.0   2.0216   2.0216   2.3745   0.0000   0.0935
126.0   2.0490   2.0490   1.4607   0.0000   0.0567
127.0   2.0856   2.0856   1.2207   0.0000   0.0466
128.0   2.1186   2.1186   1.0755   0.0000   0.0404
129.0   2.1356   2.1356   1.2968   0.0000   0.0483
130.0   2.1282   2.1282   1.1692   0.0000   0.0437
131.0   2.1004   2.1004   0.8719   0.0000   0.0330
132.0   2.0604   2.0604   0.9738   0.0000   0.0376
133.0   2.0283   2.0283   1.1099   0.0000   0.0435
134.0   2.0167   2.0167   1.5701   0.0000   0.0620
135.0   2.0339   2.0339   1.4735   0.0000   0.0576
136.0   2.0657   2.0657   1.6398   0.0000   0.0632
137.0   2.1009   2.1009   1.4570   0.0000   0.0552
138.0   2.1245   2.1245   1.6308   0.0000   0.0611
139.0   2.1263   2.1263   1.3019   0.0000   0.0487
140.0   2.1081   2.1081   1.6572   0.0000   0.0626
141.0   2.0744   2.0744   1.2169   0.0000   0.0467
142.0   2.0402   2.0402   1.1128   0.0000   0.0434
143.0   2.0189   2.0189   0.9704   0.0000   0.0382
144.0   2.0237   2.0237   1.3059   0.0000   0.0514
145.0   2.0479   2.0479   1.5333   0.0000   0.0596
146.0   2.0825   2.0825   1.2906   0.0000   0.0493
147.0   2.1106   2.1106   1.4436   0.0000   0.0544
148.0   2.1218   2.1218   1.5095   0.0000   0.0566
149.0   2.1123   2.1123   2.1449   0.0000   0.0808
150.0   2.0861   2.0861   1.7992   0.0000   0.0686
151.0   2.0520   2.0520   1.5622   0.0000   0.0606
152.0   2.0257   2.0257   1.4180   0.0000   0.0557
153.0   2.0194   2.0194   1.6075   0.0000   0.0633
154.0   2.0333   2.0333   1.2994   0.0000   0.0509
155.0   2.0656   2.0656   1.0290   0.0000   0.0396
156.0   2.0952   2.0952   0.8873   0.0000   0.0337
157.0   2.1137   2.1137   0.7876   0.0000   0.0297
158.0   2.1131   2.1131   0.9755   0.0000   0.0367
159.0   2.0943   2.0943   1.0893   0.0000   0.0414
160.0   2.0643   2.0643   1.3435   0.0000   0.0518
161.0   2.0351   2.0351   1.3473   0.0000   0.0527
162.0   2.0196   2.0196   1.6275   0.0000   0.0641
163.0   2.0240   2.0240   1.6217   0.0000   0.0638
164.0   2.0489   2.0489   2.0469   0.0000   0.0795
165.0   2.0799   2.0799   2.0428   0.0000   0.0782
166.0   2.1039   2.1039   1.6606   0.0000   0.0628
167.0   2.1102   2.1102   1.4840   0.0000   0.0560
168.0   2.0990   2.0990   1.5305   0.0000   0.0580
169.0   2.0739   2.0739   1.7236   0.0000   0.0661
170.0   2.0463   2.0463   1.1321   0.0000   0.0440
171.0   2.0244   2.0244   0.9931   0.0000   0.0390
172.0   2.0198   2.0198   0.9706   0.0000   0.0382
173.0   2.0351   2.0351   1.2793   0.0000   0.0500
174.0   2.0630   2.0630   1.3580   0.0000   0.0524
175.0   2.0916   2.0916   1.2404   0.0000   0.0472
176.0   2.1059   2.1059   1.3568   0.0000   0.0513
177.0   2.1022   2.1022   1.4503   0.0000   0.0549
178.0   2.0814   2.0814   1.7847   0.0000   0.0682
179.0   2.0558   2.0558   1.6066   0.0000   0.0622
180.0   2.0315   2.0315   1.7936   0.0000   0.0703
181.0   2.0203   2.0203   1.3765   0.0000   0.0542
182.0   2.0266   2.0266   1.4571   0.0000   0.0572
183.0   2.0478   2.0478   1.2719   0.0000   0.0494
184.0   2.0762   2.0762   1.5748   0.0000   0.0604
185.0   2.0979   2.0979   1.1657   0.0000   0.0442
186.0   2.1027   2.1027   1.1728   0.0000   0.0444
187.0   2.0886   2.0886   1.1530   0.0000   0.0439
188.0   2.0648   2.0648   1.5600   0.0000   0.0601
189.0   2.0387   2.0387   1.9638   0.0000   0.0767
190.0   2.0231   2.0231   1.4575   0.0000   0.0573
191.0   2.0220   2.0220   1.6852   0.0000   0.0663
192.0   2.0368   2.0368   1.6086   0.0000   0.0629
193.0   2.0616   2.0616   2.1758   0.0000   0.0840
194.0   2.0862   2.0862   1.6754   0.0000   0.0639
195.0   2.0986   2.0986   1.5426   0.0000   0.0585
196.0   2.0935   2.0935   1.2201   0.0000   0.0464
197.0   2.0739   2.0739   1.3139   0.0000   0.0504
198.0   2.0473   2.0473   1.0014   0.0000   0.0389
199.0   2.0279   2.0279   1.1443   0.0000   0.0449
200.0   2.0200   2.0200   1.0286   0.0000   0.0405
201.0   2.0284   2.0284   0.9964   0.0000   0.0391
202.0   2.0491   2.0491   1.3318   0.0000   0.0517
203.0   2.0738   2.0738   1.4338   0.0000   0.0550
204.0   2.0914   2.0914   2.0548   0.0000   0.0782
205.0   2.0942   2.0942   1.6696   0.0000   0.0634
206.0   2.0808   2.0808   1.8835   0.0000   0.0720
207.0   2.0572   2.0572   1.7640   0.0000   0.0682
208.0   2.0345   2.0345   2.2326   0.0000   0.0873
209.0   2.0213   2.0213   1.7939   0.0000   0.0706
210.0   2.0230   2.0230   1.4947   0.0000   0.0588
211.0   2.0378   2.0378   1.1669   0.0000   0.0456
212.0   2.0612   2.0612   1.2392   0.0000   0.0478
213.0   2.0819   2.0819   1.3708   0.0000   0.0524
214.0   2.0923   2.0923   1.0921   0.0000   0.0415
215.0   2.0853   2.0853   1.1579   0.0000   0.0442
216.0   2.0658   2.0658   1.1293   0.0000   0.0435
217.0   2.0424   2.0424   1.4870   0.0000   0.0579
218.0   2.0248   2.0248   1.6378   0.0000   0.0644
219.0   2.0207   2.0207   1.7554   0.0000   0.0691
220.0   2.0298   2.0298   1.6914   0.0000   0.0663
221.0   2.0496   2.0496   1.7698   0.0000   0.0687
