#number of points averaged per size parameter = 4999
#   x       qext           qsca q          back             gsca            qp180
0.0770  -0.0544930128    0.0000739368    0.0001104323    0.0019321467    0.1188572272
0.0780  -0.0552265534    0.0000778654    0.0001162872    0.0019822543    0.1188440304
0.0790  -0.0559610655    0.0000819491    0.0001223721    0.0020329869    0.1188306692
0.0800  -0.0566965601    0.0000861918    0.0001286930    0.0020843437    0.1188171437
0.0810  -0.0574330483    0.0000905977    0.0001352559    0.0021363238    0.1188034543
0.0820  -0.0581705410    0.0000951710    0.0001420670    0.0021889263    0.1187896010
0.0830  -0.0589090492    0.0000999160    0.0001491324    0.0022421503    0.1187755842
0.0840  -0.0596485839    0.0001048368    0.0001564584    0.0022959950    0.1187614041
0.0850  -0.0603891560    0.0001099378    0.0001640514    0.0023504593    0.1187470610
0.0860  -0.0611307764    0.0001152235    0.0001719178    0.0024055423    0.1187325551
0.0870  -0.0618734559    0.0001206983    0.0001800641    0.0024612432    0.1187178866
0.0880  -0.0626172054    0.0001263667    0.0001884969    0.0025175608    0.1187030559
0.0890  -0.0633620357    0.0001322332    0.0001972229    0.0025744943    0.1186880632
0.0900  -0.0641079576    0.0001383025    0.0002062488    0.0026320426    0.1186729087
0.0910  -0.0648549817    0.0001445793    0.0002155815    0.0026902047    0.1186575927
0.0920  -0.0656031188    0.0001510682    0.0002252278    0.0027489797    0.1186421156
0.0930  -0.0663523795    0.0001577742    0.0002351947    0.0028083664    0.1186264775
0.0940  -0.0671027747    0.0001647020    0.0002454892    0.0028683638    0.1186106787
0.0950  -0.0678543147    0.0001718565    0.0002561186    0.0029289709    0.1185947196
0.0960  -0.0686070104    0.0001792427    0.0002670901    0.0029901866    0.1185786004
0.0970  -0.0693608721    0.0001868657    0.0002784108    0.0030520098    0.1185623215
0.0980  -0.0701159106    0.0001947304    0.0002900883    0.0031144393    0.1185458830
0.0990  -0.0708721362    0.0002028421    0.0003021299    0.0031774742    0.1185292854
0.1000  -0.0716295595    0.0002112060    0.0003145432    0.0032411131    0.1185125288
0.1010  -0.0723881909    0.0002198272    0.0003273358    0.0033053550    0.1184956137
0.1020  -0.0731480409    0.0002287111    0.0003405154    0.0033701988    0.1184785403
0.1030  -0.0739091199    0.0002378631    0.0003540898    0.0034356432    0.1184613089
0.1040  -0.0746714381    0.0002472886    0.0003680668    0.0035016871    0.1184439199
0.1050  -0.0754350061    0.0002569930    0.0003824543    0.0035683292    0.1184263735
0.1060  -0.0761998341    0.0002669820    0.0003972604    0.0036355683    0.1184086702
0.1070  -0.0769659324    0.0002772611    0.0004124932    0.0037034032    0.1183908101
0.1080  -0.0777333112    0.0002878360    0.0004281607    0.0037718327    0.1183727937
0.1090  -0.0785019809    0.0002987124    0.0004442713    0.0038408555    0.1183546213
